MUMBAI PORT POSITION AS ON 21.07.2026 (INDRA DOCK),,,,,,,,,
WORKING VESSELS,,,,,,,,,
Berth,Group,Vessel Name,Length (ft),Beam (ft),GRT,Nature of Cargo,Date Berthed,Gangs,ETD
OCTM,-,VACANT,-,-,-,-,-,-,-
1ID,-,VACANT,-,-,-,-,-,-,-
2ID,-,VACANT,-,-,-,-,-,-,-
3ID,-,VACANT,-,-,-,-,-,-,-
4ID,-,VACANT,-,-,-,-,-,-,-
5ID,-,VACANT,-,-,-,-,-,-,-
6ID,-,VACANT,-,-,-,-,-,-,-
7ID,-,VACANT,-,-,-,-,-,-,-
8ID,-,VACANT,-,-,-,-,-,-,-
9ID,-,VACANT,-,-,-,-,-,-,-
JEN,-,VACANT,-,-,-,-,-,-,-
10ID,-,VACANT,-,-,-,-,-,-,-
11ID,-,VACANT,-,-,-,-,-,-,-
12ID,-,VACANT,-,-,-,-,-,-,-
12AID,-,VACANT,-,-,-,-,-,-,-
12BID,-,VACANT,-,-,-,-,-,-,-
13BID,-,VACANT,-,-,-,-,-,-,-
13AID,-,VACANT,-,-,-,-,-,-,-
13ID,-,VACANT,-,-,-,-,-,-,-
14ID,-,VACANT,-,-,-,-,-,-,-
15ID,-,VACANT,-,-,-,-,-,-,-
16ID,Group V,MV SENTOSA,INBOM120262322,515.71,87.90,"15,848","Bulk Carrier – To Discharge Ammonium Sulphate (20,000 MT)",02/07/2026 17:15,07/07/2026 12:00
17ID,-,VACANT,-,-,-,-,-,-,-
18ID,Group IV,MV KUWANA,INBOM120262358,572.13,91.84,"20,087",General Cargo Vessel – Steel Cargo,12/07/2026 16:25,12/08/2026 06:00
19ID,Group VI,GERHILD,INBOM120262499,575.74,96.43,"19,781",Bulk Carrier – Project Cargo,11/07/2026 18:18,20/07/2026 23:00
20ID,-,VACANT,-,-,-,-,-,-,-
21ID,-,VACANT,-,-,-,-,-,-,-
22ID,-,VACANT,-,-,-,-,-,-,-
23ID,-,VACANT,-,-,-,-,-,-,-
BPS,-,VACANT,-,-,-,-,-,-,-
BPX,-,VACANT,-,-,-,-,-,-,-
OCT-1,Group VI,MV HORIZON TRADER,INBOM120262332,590.07,98.40,"25,171",Bulk Carrier – Steel Cargo,11/07/2026 10:12,12/07/2026 09:00
OCT-2,-,VACANT,-,-,-,-,-,-,-
OCT BY,-,VACANT,-,-,-,-,-,-,-
,,,,,,,,,
WAITING VESSELS,,,,,,,,,
Vessel Name,VCN,ATA,Draft (m),Length (ft),Beam (ft),Discharge,Load,Reason for Non-Berthing / Delay,
MV TAN BINH 259,INBOM120244354,31/12/2024 11:10,7.30,575.89,96.46,-,-,-,
MV SADHAV ANUSHA,INBOM120244556,03/02/2025 18:00,2.00,134.51,26.25,-,-,-,
MV SADHAV ANUSHA,INBOM120244557,04/02/2025 18:00,2.00,134.51,26.25,-,-,-,
MV SADHAV ANUSHA,INBOM120244595,06/02/2025 18:00,2.00,134.51,26.25,-,-,-,
MV SCI NALANDA,INBOM120241651,11/06/2024 18:00,4.20,258.20,52.49,-,-,-,
MT RELGAS ISHETA,INBOM120262537,07/07/2026 06:40,2.50,295.51,49.54,-,-,-,
MV RON TAPPMEYER,INBOM120258229,22/03/2026 13:20,7.00,243.04,200.43,-,-,-,
